Region,Localidad,Precio_USD_kWh,Fuente_Tarifa,URL_Fuente,Sistema de Enfriamiento,Horas Totales,Free Cooling Hours,FCH %,Energia Total (kWh),OPEX 3 Anios (USD)
Europa,"Londres, UK",0.16,Eurostat NRG_PC_205 2024-S2 (referencia),https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,18164,69.1,3219040.0,515046.4
Europa,"Londres, UK",0.16,Eurostat NRG_PC_205 2024-S2 (referencia),https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,25777,98.0,2769825.0,443172.0
Europa,"Londres, UK",0.16,Eurostat NRG_PC_205 2024-S2 (referencia),https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,429281.28
Norteamérica,"Quebec, Canada",0.09,Hydro-Quebec Electricity Prices 2024,https://www.hydroquebec.com/data/documents-donnees/pdf/comparison-electricity-prices.pdf,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,426124.8
Norteamérica,"Quebec, Canada",0.09,Hydro-Quebec Electricity Prices 2024,https://www.hydroquebec.com/data/documents-donnees/pdf/comparison-electricity-prices.pdf,RDHx (Puerta Trasera),26304,15213,57.8,3413145.0,307183.05
Norteamérica,"Quebec, Canada",0.09,Hydro-Quebec Electricity Prices 2024,https://www.hydroquebec.com/data/documents-donnees/pdf/comparison-electricity-prices.pdf,Termosifon Bifasico Original,26304,18986,72.2,3186160.0,286754.4
Norteamérica,"Quebec, Canada",0.09,Hydro-Quebec Electricity Prices 2024,https://www.hydroquebec.com/data/documents-donnees/pdf/comparison-electricity-prices.pdf,D2C Bifasico (Direct-to-Chip),26304,25495,96.9,2774055.0,249664.95
Norteamérica,"Quebec, Canada",0.09,Hydro-Quebec Electricity Prices 2024,https://www.hydroquebec.com/data/documents-donnees/pdf/comparison-electricity-prices.pdf,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,241470.72
Norteamérica,"Vancouver, Canada",0.095,BC Hydro Industrial Rates 2024,https://app.bchydro.com/accounts-billing/rates-energy-use/electricity-rates.html,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,449798.4
Norteamérica,"Vancouver, Canada",0.095,BC Hydro Industrial Rates 2024,https://app.bchydro.com/accounts-billing/rates-energy-use/electricity-rates.html,RDHx (Puerta Trasera),26304,13455,51.2,3474675.0,330094.12
Norteamérica,"Vancouver, Canada",0.095,BC Hydro Industrial Rates 2024,https://app.bchydro.com/accounts-billing/rates-energy-use/electricity-rates.html,Termosifon Bifasico Original,26304,19293,73.3,3173880.0,301518.6
